date,time_slot,depot_name,total_trains_available,trains_in_service,trains_under_maintenance,ready_for_induction,average_turnaround_time_min,energy_consumption_kwh,fault_probability
2025-10-01,11:30:00,Aluva Depot,10,8,3,0,16,492,0.037
2025-10-01,11:30:00,Muttom Yard,25,20,2,3,24,220,0.0276
2025-10-01,11:45:00,Aluva Depot,10,8,3,0,18,289,0.0245
2025-10-01,11:45:00,Muttom Yard,25,20,3,2,16,332,0.0336
2025-10-01,12:00:00,Aluva Depot,10,4,2,4,18,442,0.02
2025-10-01,12:00:00,Muttom Yard,25,10,3,12,21,284,0.0302
2025-10-01,12:15:00,Aluva Depot,10,4,3,3,17,239,0.0252
2025-10-01,12:15:00,Muttom Yard,25,10,3,12,22,424,0.0164
2025-10-01,12:30:00,Aluva Depot,10,4,1,5,16,438,0.0406
2025-10-01,12:30:00,Muttom Yard,25,10,2,13,16,202,0.0449
2025-10-01,12:45:00,Aluva Depot,10,4,1,5,18,409,0.0372
2025-10-01,12:45:00,Muttom Yard,25,10,1,14,22,428,0.0389
2025-10-01,13:00:00,Aluva Depot,10,4,1,5,16,255,0.0105
2025-10-01,13:00:00,Muttom Yard,25,10,2,13,22,286,0.0454
2025-10-01,13:15:00,Aluva Depot,10,4,2,4,21,329,0.0364
2025-10-01,13:15:00,Muttom Yard,25,10,2,13,22,340,0.0486
2025-10-01,13:30:00,Aluva Depot,10,4,3,3,24,461,0.0288
2025-10-01,13:30:00,Muttom Yard,25,10,1,14,18,399,0.0346
2025-10-01,13:45:00,Aluva Depot,10,4,1,5,17,296,0.018
2025-10-01,13:45:00,Muttom Yard,25,10,3,12,20,237,0.0384
2025-10-01,14:00:00,Aluva Depot,10,4,2,4,24,468,0.026
2025-10-01,14:00:00,Muttom Yard,25,10,3,12,23,328,0.0182
2025-10-01,14:15:00,Aluva Depot,10,4,1,5,19,325,0.0115
2025-10-01,14:15:00,Muttom Yard,25,10,2,13,15,253,0.0328
2025-10-01,14:30:00,Aluva Depot,10,4,2,4,20,301,0.0493
2025-10-01,14:30:00,Muttom Yard,25,10,1,14,22,480,0.045
2025-10-01,14:45:00,Aluva Depot,10,4,2,4,21,242,0.0398
2025-10-01,14:45:00,Muttom Yard,25,10,1,14,21,251,0.0375
2025-10-01,15:00:00,Aluva Depot,10,4,2,4,21,226,0.012
2025-10-01,15:00:00,Muttom Yard,25,10,3,12,22,497,0.0309
2025-10-01,15:15:00,Aluva Depot,10,4,1,5,16,231,0.0179
2025-10-01,15:15:00,Muttom Yard,25,10,2,13,19,293,0.0311
2025-10-01,15:30:00,Aluva Depot,10,4,1,5,24,208,0.0329
2025-10-01,15:30:00,Muttom Yard,25,10,1,14,22,406,0.0494
2025-10-01,15:45:00,Aluva Depot,10,4,3,3,17,449,0.0375
2025-10-01,15:45:00,Muttom Yard,25,10,1,14,17,363,0.0418
2025-10-01,16:00:00,Aluva Depot,10,4,1,5,19,208,0.0347
2025-10-01,16:00:00,Muttom Yard,25,10,3,12,21,248,0.0476
2025-10-01,16:15:00,Aluva Depot,10,4,3,3,17,450,0.038
2025-10-01,16:15:00,Muttom Yard,25,10,2,13,17,373,0.0141
2025-10-01,16:30:00,Aluva Depot,10,4,2,4,22,274,0.0435
2025-10-01,16:30:00,Muttom Yard,25,10,1,14,23,272,0.0258
2025-10-01,16:45:00,Aluva Depot,10,4,1,5,15,414,0.0397
2025-10-01,16:45:00,Muttom Yard,25,10,3,12,16,426,0.027
2025-10-01,17:00:00,Aluva Depot,10,8,3,0,23,321,0.0474
2025-10-01,17:00:00,Muttom Yard,25,20,2,3,20,452,0.0451
2025-10-01,17:15:00,Aluva Depot,10,8,3,0,23,294,0.0376
2025-10-01,17:15:00,Muttom Yard,25,20,1,4,15,356,0.034
2025-10-01,17:30:00,Aluva Depot,10,8,1,1,18,409,0.0293
2025-10-01,17:30:00,Muttom Yard,25,20,2,3,16,320,0.0472
2025-10-01,17:45:00,Aluva Depot,10,8,3,0,18,427,0.0315
2025-10-01,17:45:00,Muttom Yard,25,20,2,3,20,443,0.0144
2025-10-01,18:00:00,Aluva Depot,10,8,3,0,17,317,0.0351
2025-10-01,18:00:00,Muttom Yard,25,20,2,3,15,341,0.0183
2025-10-01,18:15:00,Aluva Depot,10,8,1,1,18,271,0.0441
2025-10-01,18:15:00,Muttom Yard,25,20,1,4,23,329,0.0212
2025-10-01,18:30:00,Aluva Depot,10,8,1,1,17,464,0.0222
2025-10-01,18:30:00,Muttom Yard,25,20,1,4,22,482,0.0312
2025-10-01,18:45:00,Aluva Depot,10,8,2,0,23,254,0.0374
2025-10-01,18:45:00,Muttom Yard,25,20,2,3,21,455,0.0374
2025-10-01,19:00:00,Aluva Depot,10,8,1,1,21,266,0.0174
2025-10-01,19:00:00,Muttom Yard,25,20,1,4,18,370,0.0286
2025-10-01,19:15:00,Aluva Depot,10,8,1,1,20,456,0.0151
2025-10-01,19:15:00,Muttom Yard,25,20,3,2,19,387,0.0111
2025-10-01,19:30:00,Aluva Depot,10,8,3,0,24,225,0.0462
2025-10-01,19:30:00,Muttom Yard,25,20,1,4,18,361,0.0206
2025-10-01,19:45:00,Aluva Depot,10,8,2,0,20,497,0.0461
2025-10-01,19:45:00,Muttom Yard,25,20,3,2,23,434,0.0197
2025-10-01,20:00:00,Aluva Depot,10,8,3,0,22,263,0.0185
2025-10-01,20:00:00,Muttom Yard,25,20,1,4,23,495,0.0425
2025-10-01,20:15:00,Aluva Depot,10,8,2,0,22,338,0.0341
2025-10-01,20:15:00,Muttom Yard,25,20,2,3,20,293,0.0471
2025-10-01,20:30:00,Aluva Depot,10,8,2,0,17,244,0.0137
2025-10-01,20:30:00,Muttom Yard,25,20,2,3,18,298,0.023
2025-10-01,20:45:00,Aluva Depot,10,8,2,0,20,492,0.0195
2025-10-01,20:45:00,Muttom Yard,25,20,2,3,19,459,0.0207
2025-10-01,21:00:00,Aluva Depot,10,4,3,3,21,261,0.0415
2025-10-01,21:00:00,Muttom Yard,25,10,1,14,16,359,0.0444
2025-10-01,21:15:00,Aluva Depot,10,4,2,4,16,397,0.0161
2025-10-01,21:15:00,Muttom Yard,25,10,1,14,17,279,0.0131
2025-10-01,21:30:00,Aluva Depot,10,4,3,3,22,255,0.0103
2025-10-01,21:30:00,Muttom Yard,25,10,3,12,17,455,0.0258
2025-10-01,21:45:00,Aluva Depot,10,4,1,5,20,291,0.0156
2025-10-01,21:45:00,Muttom Yard,25,10,2,13,15,281,0.0364
2025-10-01,22:00:00,Aluva Depot,10,4,1,5,22,212,0.0245
2025-10-01,22:00:00,Muttom Yard,25,10,2,13,24,295,0.0309
2025-10-01,22:15:00,Aluva Depot,10,4,2,4,17,341,0.0407
2025-10-01,22:15:00,Muttom Yard,25,10,3,12,23,425,0.0421
2025-10-01,22:30:00,Aluva Depot,10,4,2,4,22,215,0.0373
2025-10-01,22:30:00,Muttom Yard,25,10,2,13,17,323,0.0294
2025-10-01,22:45:00,Aluva Depot,10,4,1,5,18,386,0.0132
2025-10-01,22:45:00,Muttom Yard,25,10,2,13,16,238,0.0451
2025-10-01,23:00:00,Aluva Depot,10,4,1,5,15,275,0.0186
2025-10-01,23:00:00,Muttom Yard,25,10,1,14,19,317,0.0326
2025-10-02,05:30:00,Aluva Depot,10,4,1,5,18,358,0.0219
2025-10-02,05:30:00,Muttom Yard,25,10,3,12,18,442,0.0255
2025-10-02,05:45:00,Aluva Depot,10,4,3,3,24,209,0.017
2025-10-02,05:45:00,Muttom Yard,25,10,3,12,19,392,0.0157
2025-10-02,06:00:00,Aluva Depot,10,4,2,4,22,234,0.0371
2025-10-02,06:00:00,Muttom Yard,25,10,2,13,18,295,0.0394
2025-10-02,06:15:00,Aluva Depot,10,4,1,5,24,436,0.0489
2025-10-02,06:15:00,Muttom Yard,25,10,1,14,22,274,0.0499
2025-10-02,06:30:00,Aluva Depot,10,4,1,5,23,475,0.0323
2025-10-02,06:30:00,Muttom Yard,25,10,3,12,17,223,0.0387
2025-10-02,06:45:00,Aluva Depot,10,4,1,5,16,378,0.0326
2025-10-02,06:45:00,Muttom Yard,25,10,1,14,24,332,0.0429
2025-10-02,07:00:00,Aluva Depot,10,4,3,3,15,352,0.0298
2025-10-02,07:00:00,Muttom Yard,25,10,1,14,22,495,0.0313
2025-10-02,07:15:00,Aluva Depot,10,4,1,5,18,380,0.0365
2025-10-02,07:15:00,Muttom Yard,25,10,2,13,19,477,0.0217
2025-10-02,07:30:00,Aluva Depot,10,4,2,4,15,383,0.0479
2025-10-02,07:30:00,Muttom Yard,25,10,3,12,23,246,0.0187
2025-10-02,07:45:00,Aluva Depot,10,4,1,5,15,293,0.0196
2025-10-02,07:45:00,Muttom Yard,25,10,3,12,23,267,0.0448
2025-10-02,08:00:00,Aluva Depot,10,8,2,0,16,274,0.0109
2025-10-02,08:00:00,Muttom Yard,25,20,2,3,16,469,0.0414
2025-10-02,08:15:00,Aluva Depot,10,8,2,0,18,479,0.0161
2025-10-02,08:15:00,Muttom Yard,25,20,3,2,19,457,0.0435
2025-10-02,08:30:00,Aluva Depot,10,8,2,0,24,415,0.0275
2025-10-02,08:30:00,Muttom Yard,25,20,2,3,19,285,0.0295
2025-10-02,08:45:00,Aluva Depot,10,8,3,0,18,394,0.0406
2025-10-02,08:45:00,Muttom Yard,25,20,2,3,20,369,0.0142
2025-10-02,09:00:00,Aluva Depot,10,8,1,1,18,383,0.0134
2025-10-02,09:00:00,Muttom Yard,25,20,2,3,21,270,0.0465
2025-10-02,09:15:00,Aluva Depot,10,8,1,1,22,323,0.0339
2025-10-02,09:15:00,Muttom Yard,25,20,2,3,15,345,0.0185
2025-10-02,09:30:00,Aluva Depot,10,8,2,0,23,223,0.0362
2025-10-02,09:30:00,Muttom Yard,25,20,1,4,23,416,0.0144
2025-10-02,09:45:00,Aluva Depot,10,8,2,0,18,223,0.0431
2025-10-02,09:45:00,Muttom Yard,25,20,1,4,19,212,0.0425
2025-10-02,10:00:00,Aluva Depot,10,8,1,1,18,425,0.0428
2025-10-02,10:00:00,Muttom Yard,25,20,2,3,20,214,0.0387
2025-10-02,10:15:00,Aluva Depot,10,8,1,1,19,346,0.0177
2025-10-02,10:15:00,Muttom Yard,25,20,2,3,15,246,0.0164
2025-10-02,10:30:00,Aluva Depot,10,8,3,0,21,461,0.0323
2025-10-02,10:30:00,Muttom Yard,25,20,3,2,24,313,0.0394
2025-10-02,10:45:00,Aluva Depot,10,8,3,0,21,201,0.0472
2025-10-02,10:45:00,Muttom Yard,25,20,3,2,15,201,0.0414
2025-10-02,11:00:00,Aluva Depot,10,8,1,1,22,242,0.0293
2025-10-02,11:00:00,Muttom Yard,25,20,1,4,24,402,0.0499
2025-10-02,11:15:00,Aluva Depot,10,8,1,1,22,326,0.0428
2025-10-02,11:15:00,Muttom Yard,25,20,1,4,16,310,0.0487
2025-10-02,11:30:00,Aluva Depot,10,8,2,0,24,320,0.0346
2025-10-02,11:30:00,Muttom Yard,25,20,3,2,24,249,0.0151
2025-10-02,11:45:00,Aluva Depot,10,8,3,0,16,328,0.0183
2025-10-02,11:45:00,Muttom Yard,25,20,3,2,22,241,0.015
2025-10-02,12:00:00,Aluva Depot,10,4,2,4,18,353,0.0396
2025-10-02,12:00:00,Muttom Yard,25,10,2,13,15,443,0.036
2025-10-02,12:15:00,Aluva Depot,10,4,1,5,17,248,0.0149
2025-10-02,12:15:00,Muttom Yard,25,10,3,12,18,460,0.0298
2025-10-02,12:30:00,Aluva Depot,10,4,1,5,22,493,0.0347
2025-10-02,12:30:00,Muttom Yard,25,10,2,13,15,453,0.0373
2025-10-02,12:45:00,Aluva Depot,10,4,1,5,23,284,0.015
2025-10-02,12:45:00,Muttom Yard,25,10,2,13,19,478,0.0226
2025-10-02,13:00:00,Aluva Depot,10,4,1,5,18,249,0.0495
2025-10-02,13:00:00,Muttom Yard,25,10,3,12,20,267,0.0337
2025-10-02,13:15:00,Aluva Depot,10,4,1,5,17,237,0.0231
2025-10-02,13:15:00,Muttom Yard,25,10,2,13,15,265,0.0202
2025-10-02,13:30:00,Aluva Depot,10,4,2,4,17,278,0.0272
2025-10-02,13:30:00,Muttom Yard,25,10,3,12,20,472,0.049
2025-10-02,13:45:00,Aluva Depot,10,4,1,5,22,401,0.0101
2025-10-02,13:45:00,Muttom Yard,25,10,3,12,19,479,0.0215
2025-10-02,14:00:00,Aluva Depot,10,4,1,5,21,364,0.0463
2025-10-02,14:00:00,Muttom Yard,25,10,2,13,17,466,0.029
2025-10-02,14:15:00,Aluva Depot,10,4,3,3,19,327,0.047
2025-10-02,14:15:00,Muttom Yard,25,10,2,13,19,270,0.0466
2025-10-02,14:30:00,Aluva Depot,10,4,1,5,22,495,0.0491
2025-10-02,14:30:00,Muttom Yard,25,10,3,12,21,438,0.0245
2025-10-02,14:45:00,Aluva Depot,10,4,3,3,19,353,0.0464
2025-10-02,14:45:00,Muttom Yard,25,10,3,12,23,209,0.0345
2025-10-02,15:00:00,Aluva Depot,10,4,1,5,18,265,0.0424
2025-10-02,15:00:00,Muttom Yard,25,10,2,13,21,464,0.0396
2025-10-02,15:15:00,Aluva Depot,10,4,2,4,19,242,0.0265
2025-10-02,15:15:00,Muttom Yard,25,10,2,13,15,398,0.0269
2025-10-02,15:30:00,Aluva Depot,10,4,1,5,20,256,0.043
2025-10-02,15:30:00,Muttom Yard,25,10,3,12,16,370,0.0351
2025-10-02,15:45:00,Aluva Depot,10,4,1,5,17,432,0.0349
2025-10-02,15:45:00,Muttom Yard,25,10,3,12,19,205,0.029
2025-10-02,16:00:00,Aluva Depot,10,4,3,3,17,485,0.0114
2025-10-02,16:00:00,Muttom Yard,25,10,2,13,21,441,0.0221
2025-10-02,16:15:00,Aluva Depot,10,4,3,3,21,318,0.0401
2025-10-02,16:15:00,Muttom Yard,25,10,1,14,21,225,0.0439
2025-10-02,16:30:00,Aluva Depot,10,4,1,5,18,264,0.0199
2025-10-02,16:30:00,Muttom Yard,25,10,1,14,22,457,0.0212
2025-10-02,16:45:00,Aluva Depot,10,4,3,3,22,255,0.0408
2025-10-02,16:45:00,Muttom Yard,25,10,1,14,16,403,0.0166
2025-10-02,17:00:00,Aluva Depot,10,8,2,0,24,379,0.0275
2025-10-02,17:00:00,Muttom Yard,25,20,3,2,17,439,0.0403
2025-10-02,17:15:00,Aluva Depot,10,8,1,1,24,290,0.0177
2025-10-02,17:15:00,Muttom Yard,25,20,2,3,15,410,0.0384
2025-10-02,17:30:00,Aluva Depot,10,8,1,1,22,232,0.0429
2025-10-02,17:30:00,Muttom Yard,25,20,2,3,15,371,0.0181
2025-10-02,17:45:00,Aluva Depot,10,8,3,0,16,455,0.0192
2025-10-02,17:45:00,Muttom Yard,25,20,3,2,21,365,0.0202
2025-10-02,18:00:00,Aluva Depot,10,8,3,0,24,456,0.0491
2025-10-02,18:00:00,Muttom Yard,25,20,2,3,23,457,0.0231
2025-10-02,18:15:00,Aluva Depot,10,8,2,0,15,482,0.0479
2025-10-02,18:15:00,Muttom Yard,25,20,3,2,24,334,0.026
2025-10-02,18:30:00,Aluva Depot,10,8,2,0,17,360,0.0103
2025-10-02,18:30:00,Muttom Yard,25,20,2,3,15,315,0.0178
2025-10-02,18:45:00,Aluva Depot,10,8,2,0,23,342,0.0399
2025-10-02,18:45:00,Muttom Yard,25,20,2,3,20,319,0.0294
2025-10-02,19:00:00,Aluva Depot,10,8,1,1,15,476,0.0335
2025-10-02,19:00:00,Muttom Yard,25,20,1,4,21,487,0.0372
2025-10-02,19:15:00,Aluva Depot,10,8,1,1,21,441,0.0287
2025-10-02,19:15:00,Muttom Yard,25,20,3,2,24,243,0.0127
2025-10-02,19:30:00,Aluva Depot,10,8,1,1,24,413,0.0183
2025-10-02,19:30:00,Muttom Yard,25,20,3,2,15,495,0.0349
2025-10-02,19:45:00,Aluva Depot,10,8,3,0,16,236,0.0456
2025-10-02,19:45:00,Muttom Yard,25,20,3,2,24,340,0.02
2025-10-02,20:00:00,Aluva Depot,10,8,1,1,21,483,0.0354
2025-10-02,20:00:00,Muttom Yard,25,20,3,2,23,388,0.017
2025-10-02,20:15:00,Aluva Depot,10,8,2,0,17,209,0.0145
2025-10-02,20:15:00,Muttom Yard,25,20,2,3,22,458,0.0402
2025-10-02,20:30:00,Aluva Depot,10,8,1,1,19,259,0.0467
2025-10-02,20:30:00,Muttom Yard,25,20,3,2,21,248,0.0314
2025-10-02,20:45:00,Aluva Depot,10,8,3,0,20,257,0.048
2025-10-02,20:45:00,Muttom Yard,25,20,3,2,24,332,0.028
2025-10-02,21:00:00,Aluva Depot,10,4,3,3,23,461,0.0472
2025-10-02,21:00:00,Muttom Yard,25,10,2,13,24,254,0.028
2025-10-02,21:15:00,Aluva Depot,10,4,2,4,18,409,0.0114
2025-10-02,21:15:00,Muttom Yard,25,10,3,12,15,359,0.0248
2025-10-02,21:30:00,Aluva Depot,10,4,3,3,21,385,0.0358
2025-10-02,21:30:00,Muttom Yard,25,10,1,14,21,403,0.0224
2025-10-02,21:45:00,Aluva Depot,10,4,3,3,22,396,0.0164
2025-10-02,21:45:00,Muttom Yard,25,10,1,14,22,265,0.0286
2025-10-02,22:00:00,Aluva Depot,10,4,3,3,22,494,0.0475
2025-10-02,22:00:00,Muttom Yard,25,10,2,13,21,441,0.0238
2025-10-02,22:15:00,Aluva Depot,10,4,1,5,18,484,0.0139
2025-10-02,22:15:00,Muttom Yard,25,10,2,13,24,302,0.0363
2025-10-02,22:30:00,Aluva Depot,10,4,2,4,15,461,0.0199
2025-10-02,22:30:00,Muttom Yard,25,10,1,14,21,483,0.0435
2025-10-02,22:45:00,Aluva Depot,10,4,3,3,19,238,0.016
2025-10-02,22:45:00,Muttom Yard,25,10,3,12,23,298,0.0405
2025-10-02,23:00:00,Aluva Depot,10,4,2,4,22,309,0.0463
2025-10-02,23:00:00,Muttom Yard,25,10,2,13,21,210,0.0153
2025-10-03,05:30:00,Aluva Depot,10,4,2,4,22,222,0.0189
2025-10-03,05:30:00,Muttom Yard,25,10,2,13,21,447,0.0334
2025-10-03,05:45:00,Aluva Depot,10,4,2,4,23,497,0.0189
2025-10-03,05:45:00,Muttom Yard,25,10,1,14,21,310,0.0415
2025-10-03,06:00:00,Aluva Depot,10,4,2,4,19,499,0.0368
2025-10-03,06:00:00,Muttom Yard,25,10,2,13,20,421,0.049
2025-10-03,06:15:00,Aluva Depot,10,4,1,5,21,418,0.0333
2025-10-03,06:15:00,Muttom Yard,25,10,1,14,16,423,0.0411
2025-10-03,06:30:00,Aluva Depot,10,4,2,4,16,324,0.0185
2025-10-03,06:30:00,Muttom Yard,25,10,1,14,24,297,0.0299
2025-10-03,06:45:00,Aluva Depot,10,4,2,4,15,491,0.0241
2025-10-03,06:45:00,Muttom Yard,25,10,3,12,19,406,0.0196
2025-10-03,07:00:00,Aluva Depot,10,4,2,4,19,200,0.0191
2025-10-03,07:00:00,Muttom Yard,25,10,1,14,18,297,0.0189
2025-10-03,07:15:00,Aluva Depot,10,4,2,4,15,396,0.0492
2025-10-03,07:15:00,Muttom Yard,25,10,1,14,15,403,0.0101
2025-10-03,07:30:00,Aluva Depot,10,4,3,3,15,285,0.033
2025-10-03,07:30:00,Muttom Yard,25,10,2,13,24,267,0.0227
2025-10-03,07:45:00,Aluva Depot,10,4,2,4,21,346,0.0314
2025-10-03,07:45:00,Muttom Yard,25,10,3,12,23,386,0.0244
2025-10-03,08:00:00,Aluva Depot,10,8,2,0,23,269,0.0267
2025-10-03,08:00:00,Muttom Yard,25,20,3,2,22,419,0.0348
2025-10-03,08:15:00,Aluva Depot,10,8,3,0,16,375,0.0196
2025-10-03,08:15:00,Muttom Yard,25,20,2,3,24,431,0.0409
2025-10-03,08:30:00,Aluva Depot,10,8,3,0,16,227,0.0196
2025-10-03,08:30:00,Muttom Yard,25,20,1,4,18,377,0.0145
2025-10-03,08:45:00,Aluva Depot,10,8,2,0,15,313,0.0183
2025-10-03,08:45:00,Muttom Yard,25,20,3,2,17,201,0.0413
2025-10-03,09:00:00,Aluva Depot,10,8,3,0,15,291,0.0143
2025-10-03,09:00:00,Muttom Yard,25,20,3,2,20,381,0.0457
2025-10-03,09:15:00,Aluva Depot,10,8,1,1,23,231,0.0103
2025-10-03,09:15:00,Muttom Yard,25,20,2,3,19,275,0.0233
2025-10-03,09:30:00,Aluva Depot,10,8,3,0,22,388,0.0403
2025-10-03,09:30:00,Muttom Yard,25,20,1,4,24,332,0.0223
2025-10-03,09:45:00,Aluva Depot,10,8,2,0,24,489,0.0108
2025-10-03,09:45:00,Muttom Yard,25,20,1,4,20,205,0.0197
2025-10-03,10:00:00,Aluva Depot,10,8,3,0,23,219,0.0383
2025-10-03,10:00:00,Muttom Yard,25,20,3,2,18,215,0.0372
2025-10-03,10:15:00,Aluva Depot,10,8,1,1,15,336,0.047
2025-10-03,10:15:00,Muttom Yard,25,20,3,2,20,495,0.0203
2025-10-03,10:30:00,Aluva Depot,10,8,2,0,15,337,0.015
2025-10-03,10:30:00,Muttom Yard,25,20,3,2,24,270,0.0409
2025-10-03,10:45:00,Aluva Depot,10,8,3,0,19,412,0.0478
2025-10-03,10:45:00,Muttom Yard,25,20,3,2,23,222,0.0359
2025-10-03,11:00:00,Aluva Depot,10,8,1,1,19,258,0.0492
2025-10-03,11:00:00,Muttom Yard,25,20,2,3,23,492,0.045
2025-10-03,11:15:00,Aluva Depot,10,8,1,1,18,216,0.0127
2025-10-03,11:15:00,Muttom Yard,25,20,2,3,17,242,0.017
2025-10-03,11:30:00,Aluva Depot,10,8,3,0,17,292,0.028
2025-10-03,11:30:00,Muttom Yard,25,20,2,3,19,239,0.0225
2025-10-03,11:45:00,Aluva Depot,10,8,3,0,17,472,0.027
2025-10-03,11:45:00,Muttom Yard,25,20,1,4,23,412,0.0257
2025-10-03,12:00:00,Aluva Depot,10,4,2,4,20,237,0.0266
2025-10-03,12:00:00,Muttom Yard,25,10,1,14,19,373,0.0248
2025-10-03,12:15:00,Aluva Depot,10,4,1,5,23,228,0.0236
2025-10-03,12:15:00,Muttom Yard,25,10,2,13,24,235,0.0182
2025-10-03,12:30:00,Aluva Depot,10,4,3,3,24,331,0.0155
2025-10-03,12:30:00,Muttom Yard,25,10,2,13,16,292,0.0181
2025-10-03,12:45:00,Aluva Depot,10,4,3,3,16,231,0.026
2025-10-03,12:45:00,Muttom Yard,25,10,2,13,15,357,0.0197
2025-10-03,13:00:00,Aluva Depot,10,4,3,3,23,435,0.0443
2025-10-03,13:00:00,Muttom Yard,25,10,2,13,24,333,0.0404
2025-10-03,13:15:00,Aluva Depot,10,4,2,4,18,253,0.0167
2025-10-03,13:15:00,Muttom Yard,25,10,2,13,23,285,0.0233
2025-10-03,13:30:00,Aluva Depot,10,4,2,4,19,491,0.044
2025-10-03,13:30:00,Muttom Yard,25,10,1,14,21,330,0.029
2025-10-03,13:45:00,Aluva Depot,10,4,2,4,22,205,0.0133
2025-10-03,13:45:00,Muttom Yard,25,10,3,12,23,391,0.0386
2025-10-03,14:00:00,Aluva Depot,10,4,2,4,23,219,0.0129
2025-10-03,14:00:00,Muttom Yard,25,10,1,14,20,456,0.0444
2025-10-03,14:15:00,Aluva Depot,10,4,2,4,15,270,0.0142
2025-10-03,14:15:00,Muttom Yard,25,10,3,12,24,240,0.0307
2025-10-03,14:30:00,Aluva Depot,10,4,1,5,15,329,0.0175
2025-10-03,14:30:00,Muttom Yard,25,10,2,13,16,212,0.0198
2025-10-03,14:45:00,Aluva Depot,10,4,2,4,20,259,0.0174
2025-10-03,14:45:00,Muttom Yard,25,10,3,12,20,479,0.0238
2025-10-03,15:00:00,Aluva Depot,10,4,2,4,16,317,0.0336
2025-10-03,15:00:00,Muttom Yard,25,10,2,13,24,254,0.0379
2025-10-03,15:15:00,Aluva Depot,10,4,1,5,17,384,0.0128
2025-10-03,15:15:00,Muttom Yard,25,10,2,13,20,464,0.0374
2025-10-03,15:30:00,Aluva Depot,10,4,2,4,23,398,0.0201
